Java HotSpot(TM) Client VM (25.60-b23) for windows-x86 JRE (1.8.0_60-b27), built on Aug  4 2015 10:57:40 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 3399160k(995136k free), swap 6796604k(3629564k free)
CommandLine flags: -XX:InitialHeapSize=1048576000 -XX:MaxHeapSize=1048576000 -XX:MaxNewSize=1048576 -XX:NewSize=1048576 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
3.253: [GC (Allocation Failure) 3.253: [DefNew: 960K->64K(960K), 0.0046342 secs] 39688K->39678K(1023936K), 0.0047410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.332: [GC (Allocation Failure) 3.332: [DefNew: 960K->63K(960K), 0.0044247 secs] 40574K->40555K(1023936K), 0.0045169 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.386: [GC (Allocation Failure) 3.386: [DefNew: 959K->63K(960K), 0.0051966 secs] 41451K->41435K(1023936K), 0.0052954 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.460: [GC (Allocation Failure) 3.460: [DefNew: 959K->63K(960K), 0.0028664 secs] 42331K->42304K(1023936K), 0.0029512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.508: [GC (Allocation Failure) 3.508: [DefNew: 959K->63K(960K), 0.0042614 secs] 43200K->43148K(1023936K), 0.0043588 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.576: [GC (Allocation Failure) 3.576: [DefNew: 959K->64K(960K), 0.0031795 secs] 44044K->44014K(1023936K), 0.0032563 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.624: [GC (Allocation Failure) 3.624: [DefNew: 960K->64K(960K), 0.0033852 secs] 44910K->44875K(1023936K), 0.0034661 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.671: [GC (Allocation Failure) 3.671: [DefNew: 960K->64K(960K), 0.0027400 secs] 45771K->45727K(1023936K), 0.0028273 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.800: [GC (Allocation Failure) 3.800: [DefNew: 960K->63K(960K), 0.0045036 secs] 46623K->46608K(1023936K), 0.0045989 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.897: [GC (Allocation Failure) 3.897: [DefNew: 959K->63K(960K), 0.0045141 secs] 47504K->47484K(1023936K), 0.0046394 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
